"id","ja","en","de","fr","ko","zh-cn"
"738","すくすくボンバー","sappy-seed","sprießomben","évo-écolo","쑥쑥봄버","茁茁轟炸"
"739","こちこちフロスト","freezy-frost","klirrfrost","évo-congélo","꽁꽁프로스트","冰冰霜凍"
"740","きらきらストーム","sparkly-swirl","glitzersturm","évo-fabulo","반짝반짝스톰","亮亮風暴"
"741","ブイブイブレイク","veevee-volley","evo-crash","évo-chardasso","브이브이브레이크","砰砰擊破"
"742","ダブルパンツァー","double-iron-bash","panzerfäuste","écrous-d'poing","더블펀처","鋼拳雙擊"
"743","ダイウォール","max-guard","dyna-wall","gardomax","다이월","極巨防壁"
"744","ダイマックスほう","dynamax-cannon","dynamax-kanone","canon-dynamax","다이맥스포","極巨炮"
"745","ねらいうち","snipe-shot","präisionsschuss","tir-de-précision","노려맞히기","狙擊"
"746","くらいつく","jaw-lock","fesselbiss","croque-fort","물고버티기","緊咬不放"
"747","ほおばる","stuff-cheeks","backenstopfer","garde-à-joues","볼가득넣기","大快朵頤"
"748","はいすいのじん","no-retreat","finalformation","ultime-bastion","배수의진","背水一戰"
"749","タールショット","tar-shot","teerschuss","goudronnage","타르숏","瀝青射擊"
"750","まほうのこな","magic-powder","magiepuder","poudre-magique","마법가루","魔法粉"
"751","ドラゴンアロー","dragon-darts","drachenpfeile","draco-flèches","드래곤애로","龍箭"
"752","おちゃかい","teatime","teatime","thérémonie","다과회","茶會"
"753","たこがため","octolock","octoklammer","octoprise","문어굳히기","蛸固"
"754","でんげきくちばし","bolt-beak","schockschnabel","prise-de-bec","전격부리","電喙"
"755","エラがみ","fishious-rend","kiemenbiss","branchicrok","아가미물기","鰓咬"
"756","コートチェンジ","court-change","seitenwechsel","change-côté","코트체인지","換場"
"757","ダイバーン","max-flare","dyna-brand","pyromax","다이번","極巨火爆"
"758","ダイワーム","max-flutterby","dyna-schwarm","insectomax","다이웜","極巨蟲蠱"
"759","ダイサンダー","max-lightning","dyna-gewitter","fulguromax","다이썬더","極巨閃電"
"760","ダイアタック","max-strike","dyna-angriff","normalomax","다이어택","極巨攻擊"
"761","ダイナックル","max-knuckle","dyna-faust","pugilomax","다이너클","極巨拳鬥"
"762","ダイホロウ","max-phantasm","dyna-spuk","spectromax","다이할로우","極巨幽魂"
"763","ダイアイス","max-hailstorm","dyna-frost","cryomax","다이아이스","極巨寒冰"
"764","ダイアシッド","max-ooze","dyna-giftschwall","toxinomax","다이애시드","極巨酸毒"
"765","ダイストリーム","max-geyser","dyna-flut","hydromax","다이스트림","極巨水流"
"766","ダイジェット","max-airstream","dyna-düse","aéromax","다이제트","極巨飛衝"
"767","ダイフェアリー","max-starfall","dyna-zauber","enchantomax","다이페어리","極巨妖精"
"768","ダイドラグーン","max-wyrmwind","dyna-wyrm","dracomax","다이드라군","極巨龍騎"
"769","ダイサイコ","max-mindstorm","dyna-kinese","psychomax","다이사이코","極巨超能"
"770","ダイロック","max-rockfall","dyna-brocken","lithomax","다이록","極巨岩石"
"771","ダイアース","max-quake","dyna-erdstoß","sismomax","다이어스","極巨大地"
"772","ダイアーク","max-darkness","dyna-dunkel","sinistromax","다이아크","極巨惡霸"
"773","ダイソウゲン","max-overgrowth","dyna-flora","phytomax","다이그래스","極巨草原"
"774","ダイスチル","max-steelspike","dyna-stahlzacken","métallomax","다이스틸","極巨鋼鐵"
"775","ソウルビート","clangorous-soul","seelentanz","dracacophonie","소울비트","魂舞烈音爆"
"776","ボディプレス","body-press","body-press","big-splash","바디프레스","撲擊"
"777","デコレーション","decorate","verzierung","nappage","데코레이션","裝飾"
"778","ドラムアタック","drum-beating","trommelschläge","tambour-battant","드럼어택","鼓擊"
"779","トラバサミ","snap-trap","fangeisen","troquenard","집게덫","捕獸夾"
"780","かえんボール","pyro-ball","feuerball","ballon-brûlant","화염볼","火焰球"
"781","きょじゅうざん","behemoth-blade","gigantenhieb","gladius-maximus","거수참","巨獸斬"
"782","きょじゅうだん","behemoth-bash","gigantenstoß","aegis-maxima","거수탄","巨獸彈"
"782","オーラぐるま","aura-wheel","aura-rad","roue-libre","오라휠","氣場輪"
"784","ワイドブレイカー","breaking-swipe","breitseite","abattage","와이드브레이커","廣域破壞"
"785","えだづき","branch-poke","zweigstoß","tapotige","가지찌르기","木枝突刺"
"786","オーバードライブ","overdrive","overdrive","overdrive","오버드라이브","破音"
"787","りんごさん","apple-acid","apfelsäure","acide-malique","사과산","蘋果酸"
"788","ｇのちから","grav-apple","gravitation","force-g","g의힘","萬有引力"
"789","ソウルクラッシュ","spirit-break","seelenbruch","choc-émotionnel","소울크래시","靈魂衝擊"
"790","ワンダースチーム","strange-steam","wunderdampf","vapeur-féérique","원더스팀","神奇蒸汽"
"791","いのちのしずく","life-dew","lebenstropfen","fontaine-de-vie","생명의물방울","生命水滴"
"792","ブロッキング","obstruct","abblocker","blocage","블로킹","攔堵"
"793","どげざつき","false-surrender","kniefalltrick","fourbette","사죄의찌르기","假跪真撞"
"794","スターアサルト","meteor-assault","sternensturm","joute-astrale","스타어설트","流星突擊"
"795","ムゲンダイビーム","eternabeam","unendynastrahlen","laser-infinimax","무한다이빔","無極光束"
"796","てっていこうせん","steel-beam","stahlstrahl","métalaser","철제광선","鐵蹄光線"
"797","ワイドフォース","expanding-force","flächenmacht","vaste-pouvoir","와이드포스","廣域戰力"
"798","アイアンローラー","steel-roller","eisenwalze","métalliroue","아이언롤러","鐵滾輪"
"799","スケイルショット","scale-shot","schuppenschuss","rafale-écailles","스케일샷","鱗射"
"800","メテオビーム","meteor-beam","meteorstrahl","laser-météore","메테오빔","流星光束"
"801","シェルアームズ","shell-side-arm","muschelwaffe","kokiyarme","셸암즈","臂貝武器"
"802","ミストバースト","misty-explosion","nebelexplosion","explo-brume","미스트버스트","薄霧炸裂"
"803","グラススライダー","grassy-glide","grasrutsche","gliss'herbe","그래스슬라이더","青草滑梯"
"804","ライジングボルト","rising-voltage","hochspannung","monte-tension","라이징볼트","電力上升"
"805","だいちのはどう","terrain-pulse","feldimpuls","champlification","대지의파동","大地波動"
"806","はいよるいちげき","skitter-smack","krabbelkracher","ravage-rampant","엄습하는일격","爬擊"
"807","しっとのほのお","burning-jealousy","neidflammen","feu-envieux","질투의불꽃","妒火"
"808","うっぷんばらし","lash-out","frustventil","cent-rancunes","분풀이","洩憤"
"809","ポルターガイスト","poltergeist","poltergeist","esprit-frappeur","폴터가이스트","靈騷"
"810","ふしょくガス","corrosive-gas","korrosionsgas","gaz-corrosif","부식가스","腐蝕氣體"
"811","コーチング","coaching","coaching","coaching","코칭","指導"
"812","クイックターン","flip-turn","rollwende","eau-revoir","퀵턴","快速折返"
"813","トリプルアクセル","triple-axel","dreifach-axel","triple-axel","트리플악셀","三旋擊"
"814","ダブルウイング","dual-wingbeat","doppelflügel","double-volée","더블윙","雙翼"
"815","ねっさのだいち","scorching-sands","brandsand","sable-ardent","열사의대지","熱沙大地"
"816","ジャングルヒール","jungle-healing","dschungelheilung","selve-salvatrice","정글힐","叢林治療"
"817","あんこくきょうだ","wicked-blow","finstertreffer","poing-obscur","암흑강타","暗冥強擊"
"818","すいりゅうれんだ","surging-strikes","trefferschwall","torrent-de-coups","수류연타","水流連打"
"819","サンダープリズン","thunder-cage","blitzgefängnis","voltageôle","썬더프리즌","雷電囚籠"
"820","ドラゴンエナジー","dragon-energy","drachenkräfte","draco-énergie","드래곤에너지","巨龍威能"
"821","いてつくしせん","freezing-glare","eisiger-blick","regard-glaçant","얼어붙는시선","冰冷視線"
"822","もえあがるいかり","fiery-wrath","brennender-zorn","fureur-ardente","타오르는분노","怒火中燒"
"823","らいめいげり","thunderous-kick","donnernder-tritt","coup-fulgurant","천둥차기","雷鳴蹴擊"
"824","ブリザードランス","glacial-lance","blizzardlanze","lance-de-glace","블리자드랜스","雪矛"
"825","アストラルビット","astral-barrage","astralfragmente","éclat-spectral","아스트랄비트","星碎"
"826","ぶきみなじゅもん","eerie-spell","schauderspruch","sort-sinistre","섬뜩한주문","詭異咒語"
"827","フェイタルクロー","dire-claw","unheilsklauen","griffes-funestes","페이탈클로","剋命爪"
"828","バリアーラッシュ","psyshield-bash","barrierenstoß","sprint-bouclier","배리어러시","屏障猛攻"
"829","パワーシフト","power-shift","kraftwechsel","échange-force","파워시프트","力量轉換"
"830","がんせきアックス","stone-axe","felsaxt","hache-de-pierre","암석액스","岩斧"
"831","はるのあらし","springtide-storm","frühlingsorkan","typhon-passionné","봄의폭풍","陽春風暴"
"832","しんぴのちから","mystical-power","mythenkraft","force-mystique","신비의힘","神秘之力"
"833","だいふんげき","raging-fury","flammenwut","grand-courroux","대격분","大憤慨"
"834","ウェーブタックル","wave-crash","wellentackle","aquatacle","웨이브태클","波動衝"
"835","クロロブラスト","chloroblast","chlorostrahl","herblast","클로로블라스트","葉綠爆震"
"836","ひょうざんおろし","mountain-gale","frostfallwind","bise-glaciaire","빙산바람","冰山風"
"837","しょうりのまい","victory-dance","siegestanz","danse-victoire","승리의춤","勝利之舞"
"838","ぶちかまし","headlong-rush","schmetterramme","assaut-frontal","들이받기","突飛猛撲"
"839","どくばりセンボン","barb-barrage","giftstachelregen","multitoxik","독침천발","毒千針"
"840","オーラウイング","esper-wing","auraschwingen","ailes-psycho","오라윙","氣場之翼"
"841","うらみつらみ","bitter-malice","niedertracht","cœur-de-rancœur","천추지한","冤冤相報"
"842","たてこもる","shelter","refugium","mur-fumigène","농성","閉關"
"843","３ぼんのや","triple-arrows","drillingspfeile","triple-flèche","3연화살","三連箭"
"844","ひゃっきやこう","infernal-parade","phantomparade","cortège-funèbre","백귀야행","群魔亂舞"
"845","ひけん・ちえなみ","ceaseless-edge","klingenschwall","vagues-à-lames","비검천중파","秘劍・千重濤"
"846","こがらしあらし","bleakwind-storm","polarorkan","typhon-hivernal","찬바람폭풍","枯葉風暴"
"847","かみなりあらし","wildbolt-storm","donnerorkan","typhon-fulgurant","번개폭풍","鳴雷風暴"
"848","ねっさのあらし","sandsear-storm","wüstenorkan","typhon-pyrosable","열사의폭풍","熱沙風暴"
"849","みかづきのいのり","lunar-blessing","lunargebet","prière-lunaire","초승달의기도","新月祈禱"
"850","ブレイブチャージ","take-heart","mutschub","extravaillance","브레이브차지","勇氣填充"
"851","テラバースト","tera-blast","tera-ausbruch","téra-explosion","테라버스트","太晶爆發"
"852","スレッドトラップ","silk-trap","fadenfalle","piège-de-fil","스레드트랩","線阱"
"853","かかとおとし","axe-kick","fersenkick","talon-marteau","발꿈치찍기","下壓踢"
"854","おはかまいり","last-respects","letzte-ehre","hommage-posthume","성묘","掃墓"
"855","ルミナコリジョン","lumina-crash","lichteinschlag","lumino-impact","루미나콜리전","琉光衝激"
"856","いっちょうあがり","order-up","auftischen","plat-du-jour","한판내기","上菜"
"857","ジェットパンチ","jet-punch","düsenhieb","poing-sonique","제트펀치","噴射拳"
"858","ハバネロエキス","spicy-extract","chili-essenz","habanerage","하바네로엑기스","辣椒精華"
"859","ホイールスピン","spin-out","reifendrehung","dérapage","휠스핀","疾速轉輪"
"860","ネズミざん","population-bomb","mäuseplage","prolifération","찍찍베기","鼠數兒"
"861","アイススピナー","ice-spinner","eiskreisel","cryo-pirouette","아이스스피너","冰旋"
"862","きょけんとつげき","glaive-rush","großklingenstoß","charge-glaive","대검돌격","巨劍突擊"
"863","さいきのいのり","revival-blessing","vitalsegen","second-souffle","회생의기도","復生祈禱"
"864","しおづけ","salt-cure","pökelsalz","salaison","소금절이","鹽醃"
"865","トリプルダイブ","triple-dive","tauchtriade","triple-plongeon","트리플다이브","三連鑽"
"866","キラースピン","mortal-spin","letalwirbler","toupie-éclat","킬러스핀","晶光轉轉"
"867","うつしえ","doodle","abpausen","décalquage","베껴그리기","描繪"
"868","みをけずる","fillet-away","abspaltung","décharnement","제살깎기","甩肉"
"869","ドゲザン","kowtow-cleave","kniefallspalter","génusection","도각참","仆斬"
"870","トリックフラワー","flower-trick","blumentrick","magie-florale","트릭플라워","千變萬花"
"871","フレアソング","torch-song","loderlied","chant-flamboyant","플레어송","閃焰高歌"
"872","アクアステップ","aqua-step","wogentanz","danse-aquatique","아쿠아스텝","流水旋舞"
"873","レイジングブル","raging-bull","rasender-stier","taurogne","레이징불","怒牛"
"874","ゴールドラッシュ","make-it-rain","goldrausch","ruée-d'or","골드러시","淘金潮"
"875","サイコブレイド","psyblade","psychoschneide","lame-psychique","사이코블레이드","精神劍"
"876","ハイドロスチーム","hydro-steam","hydrodampf","hydrovapeur","하이드로스팀","水蒸氣"
"877","カタストロフィ","ruination","verderben","cataclysme","카타스트로피","大災難"
"878","アクセルブレイク","collision-course","kollisionskurs","nitro-crash","액셀브레이크","全開猛撞"
"879","イナズマドライブ","electro-drift","blitztour","turbo-volt","라이트닝드라이브","閃電猛衝"
"880","しっぽきり","shed-tail","schwanzabwurf","queulonage","꼬리자르기","斷尾"
"881","さむいギャグ","chilly-reception","eisige-stimmung","neigeux-de-mots","썰렁개그","冷笑話"
"882","おかたづけ","tidy-up","aufräumen","grand-nettoyage","정리정돈","大掃除"
"883","ゆきげしき","snowscape","schneelandschaft","chute-de-neige","설경","雪景"
"884","とびつく","pounce","anspringen","bond","달려들기","蟲撲"
"885","くさわけ","trailblaze","wegbereiter","désherbaffe","개척하기","起草"
"886","ひやみず","chilling-water","kalte-dusche","douche-froide","찬물끼얹기","潑冷水"
"887","ハイパードリル","hyper-drill","hyperbohrer","hyperceuse","하이퍼드릴","強力鑽"
"888","ツインビーム","twin-beam","doppelstrahl","double-laser","트윈빔","雙光束"
"889","ふんどのこぶし","rage-fist","zornesfaust","poing-de-colère","분노의주먹","憤怒之拳"
"890","アーマーキャノン","armor-cannon","rüstungskanone","canon-blindé","아머캐논","鎧農炮"
"891","むねんのつるぎ","bitter-blade","reueschwert","lame-en-peine","원념의칼","悔念劍"
"892","でんこうそうげき","double-shock","zweifachladung","double-décharge","전광쌍격","電光雙擊"
"893","デカハンマー","gigaton-hammer","riesenhammer","marteau-mastoc","거대해머","巨力錘"
"894","ほうふく","comeuppance","vendetta","vindicte","앙갚음","復仇"
"895","アクアカッター","aqua-cutter","aquaschnitt","tranch'aqua","아쿠아커터","水波刀"
